City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Sabha,LY,82.71,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
1,Atuona,PF,78.15,broken clouds,-9.8,-139.0333,Villa Enata
2,Chokurdakh,RU,48.51,overcast clouds,70.6333,147.9167,
3,Namibe,AO,61.65,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
4,Port Lincoln,AU,56.28,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
5,Torbay,CA,62.28,overcast clouds,47.6666,-52.7314,Gallows Cove
6,Caconda,AO,55.42,clear sky,-13.7333,15.0667,
7,Rikitea,PF,73.51,clear sky,-23.1203,-134.9692,People ThankYou
8,Grand Gaube,MU,68.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
9,Bell Ville,AR,62.67,clear sky,-32.6259,-62.6887,Hotel Central
12,Lompoc,US,79.7,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
13,Bethel,US,65.01,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
14,Cape Town,ZA,55.89,light rain,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
15,Yei,SS,66.92,overcast clouds,4.095,30.6779,Twins Hotel Yei
16,Jamestown,US,65.95,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
17,Coquimbo,CL,59.2,scattered clouds,-29.9533,-71.3436,Hotel San Juan
18,Verkhniye Sergi,RU,54.23,overcast clouds,56.6469,59.5556,
19,Chabahar,IR,83.25,few clouds,25.2919,60.643,هتل گدروشیا
20,Saint-Philippe,RE,69.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
21,Puerto Ayora,EC,72.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
22,Dingle,PH,76.93,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
23,Sao Filipe,CV,74.17,broken clouds,14.8961,-24.4956,Hotel Xaguate
