City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Sabha,LY,27.0377,14.4283,82.71,15,0,7.67,clear sky
1,Atuona,PF,-9.8,-139.0333,78.15,70,58,17.45,broken clouds
2,Chokurdakh,RU,70.6333,147.9167,48.51,50,100,11.41,overcast clouds
3,Namibe,AO,-15.1961,12.1522,61.65,89,15,8.79,few clouds
4,Port Lincoln,AU,-34.7333,135.8667,56.28,70,100,19.93,overcast clouds
5,Torbay,CA,47.6666,-52.7314,62.28,80,100,1.01,overcast clouds
6,Caconda,AO,-13.7333,15.0667,55.42,43,4,2.86,clear sky
7,Rikitea,PF,-23.1203,-134.9692,73.51,68,2,7.27,clear sky
8,Grand Gaube,MU,-20.0064,57.6608,68.38,78,13,1.99,few clouds
9,Bell Ville,AR,-32.6259,-62.6887,62.67,27,9,11.7,clear sky
10,Tasiilaq,GL,65.6145,-37.6368,38.55,86,93,7.38,overcast clouds
11,Ushuaia,AR,-54.8,-68.3,29.86,80,40,19.57,scattered clouds
12,Lompoc,US,34.6391,-120.4579,79.7,64,0,18.99,clear sky
13,Bethel,US,41.3712,-73.414,65.01,66,84,5.01,broken clouds
14,Cape Town,ZA,-33.9258,18.4232,55.89,83,75,5.75,light rain
15,Yei,SS,4.095,30.6779,66.92,97,100,4.79,overcast clouds
16,Jamestown,US,42.097,-79.2353,65.95,53,1,15.95,clear sky
17,Coquimbo,CL,-29.9533,-71.3436,59.2,67,36,3.04,scattered clouds
18,Verkhniye Sergi,RU,56.6469,59.5556,54.23,96,100,2.57,overcast clouds
19,Chabahar,IR,25.2919,60.643,83.25,87,11,7.63,few clouds
20,Saint-Philippe,RE,-21.3585,55.7679,69.39,81,61,8.66,broken clouds
21,Puerto Ayora,EC,-0.7393,-90.3518,72.55,91,100,5.99,overcast clouds
22,Dingle,PH,10.9995,122.6711,76.93,89,62,2.66,moderate rain
23,Sao Filipe,CV,14.8961,-24.4956,74.17,83,79,10.4,broken clouds
24,Mahebourg,MU,-20.4081,57.7,68.25,79,15,4.88,few clouds
25,New Norfolk,AU,-42.7826,147.0587,47.91,90,98,1.79,overcast clouds
26,Pisco,PE,-13.7,-76.2167,62.02,85,11,9.1,few clouds
27,Faanui,PF,-16.4833,-151.75,79.39,76,13,18.52,light rain
28,Bluff,NZ,-46.6,168.3333,45.81,81,100,17.81,overcast clouds
29,Albany,US,42.6001,-73.9662,56.05,93,97,11.59,overcast clouds
30,Mar Del Plata,AR,-38.0023,-57.5575,51.1,50,99,5.01,overcast clouds
31,Hermanus,ZA,-34.4187,19.2345,52.81,75,4,12.55,clear sky
32,Lebu,CL,-37.6167,-73.65,49.14,68,100,2.19,overcast clouds
33,Yellowknife,CA,62.456,-114.3525,70.32,49,75,2.3,broken clouds
34,Roma,US,43.2128,-75.4557,61.57,72,85,5.01,overcast clouds
35,Mataura,NZ,-46.1927,168.8643,45.48,99,100,2.98,overcast clouds
36,Clyde River,CA,70.4692,-68.5914,37.67,87,4,6.2,clear sky
37,San Juan,AR,-31.5375,-68.5364,61.21,19,1,8.25,clear sky
38,Constitucion,CL,-35.3333,-72.4167,53.74,63,100,9.73,overcast clouds
39,Bambous Virieux,MU,-20.3428,57.7575,68.22,79,15,4.88,few clouds
40,Timmins,CA,48.4669,-81.3331,63.9,29,0,13.42,clear sky
41,Port Alfred,ZA,-33.5906,26.891,61.45,77,100,12.08,light rain
42,Qaanaaq,GL,77.484,-69.3632,39.54,70,41,4.54,scattered clouds
43,Huarmey,PE,-10.0681,-78.1522,66.96,69,8,12.44,clear sky
44,Khorinsk,RU,52.1657,109.7726,58.87,88,100,3.38,overcast clouds
45,Livingstonia,MW,-10.606,34.1063,57.54,72,10,3.87,clear sky
46,Lavrentiya,RU,65.5833,-171.0,52.07,51,10,5.01,clear sky
47,Tuatapere,NZ,-46.1333,167.6833,46.76,90,97,6.51,overcast clouds
48,Geraldton,AU,-28.7667,114.6,64.81,72,75,14.97,broken clouds
49,Ndjole,GA,-0.1783,10.7649,73.38,87,73,1.34,broken clouds
50,Norman Wells,CA,65.282,-126.8329,79.93,27,100,7.49,overcast clouds
51,Severo-Kurilsk,RU,50.6789,156.125,46.89,96,100,2.1,overcast clouds
52,Cayenne,GF,4.9333,-52.3333,84.24,11,40,10.36,scattered clouds
53,Shimanovsk,RU,52.0,127.7,57.16,86,100,5.61,overcast clouds
54,Katsuura,JP,35.1333,140.3,69.53,90,100,4.16,overcast clouds
55,Omboue,GA,-1.5746,9.2618,72.64,83,84,6.22,broken clouds
56,Slave Lake,CA,55.2834,-114.769,51.89,99,100,6.38,overcast clouds
57,Padang,ID,-0.9492,100.3543,77.05,80,41,3.89,scattered clouds
58,Manjeshwar,IN,12.7194,74.8861,76.15,85,99,6.06,overcast clouds
59,Hobart,AU,-42.8794,147.3294,48.27,96,75,6.91,light rain
60,Ushtobe,KZ,45.2514,77.9838,68.27,30,0,6.6,clear sky
61,Busselton,AU,-33.65,115.3333,58.95,67,95,21.65,overcast clouds
62,Kapaa,US,22.0752,-159.319,79.48,76,32,8.01,scattered clouds
63,Novobiryusinskiy,RU,56.9578,97.7076,52.65,96,2,2.26,clear sky
64,Avarua,CK,-21.2078,-159.775,77.05,65,75,8.05,broken clouds
65,Port Elizabeth,ZA,-33.918,25.5701,57.09,92,100,6.91,overcast clouds
66,Tawang,IN,27.5833,91.8667,53.6,95,93,1.14,overcast clouds
67,Kidal,ML,18.4411,1.4078,89.17,33,81,12.93,broken clouds
68,Baherden,TM,38.4362,57.4316,88.61,26,1,11.34,clear sky
69,Ancud,CL,-41.8697,-73.8203,52.23,95,100,19.73,moderate rain
70,Carnarvon,AU,-24.8667,113.6333,66.78,67,100,12.46,overcast clouds
71,Baykit,RU,61.67,96.37,54.57,95,81,2.15,broken clouds
72,Vaitape,PF,-16.5167,-151.75,79.36,76,14,18.75,light rain
73,Yining,CN,29.0361,114.5636,73.56,98,100,1.57,overcast clouds
74,Dikson,RU,73.5069,80.5464,30.7,87,70,13.71,broken clouds
75,Barrow,US,71.2906,-156.7887,30.22,93,100,6.91,fog
76,Saryagash,KZ,41.4511,69.1701,76.96,25,10,7.52,clear sky
77,Flinders,AU,-34.5833,150.8552,53.19,80,35,1.01,scattered clouds
78,Husavik,IS,66.0449,-17.3389,47.44,69,71,3.11,broken clouds
79,Hithadhoo,MV,-0.6,73.0833,82.6,73,100,6.62,overcast clouds
80,Longyearbyen,SJ,78.2186,15.6401,40.84,75,75,14.97,broken clouds
81,Vaini,TO,-21.2,-175.2,77.16,88,75,11.5,broken clouds
82,Thompson,CA,55.7435,-97.8558,79.59,22,100,14.81,overcast clouds
