City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2022-06-12 22:51:33,-53.15,-70.9167,48.31,81,75,5.75
1,Fuxin,CN,2022-06-12 22:51:34,42.0156,121.6589,63.73,85,96,7.92
2,Victoria,HK,2022-06-12 22:49:32,22.2855,114.1577,83.97,86,100,11.99
3,Burnie,AU,2022-06-12 22:51:34,-41.0667,145.9167,45.37,74,4,6.31
4,Wilkie,CA,2022-06-12 22:51:35,52.4168,-108.7014,66.58,64,76,15.5
5,Koslan,RU,2022-06-12 22:51:35,63.4564,48.8989,45.32,62,78,2.8
6,Busselton,AU,2022-06-12 22:51:36,-33.65,115.3333,59.5,73,100,22.03
7,Waitara,NZ,2022-06-12 22:51:36,-38.925,174.25,57.22,69,81,28.48
8,Comodoro Rivadavia,AR,2022-06-12 22:51:37,-45.8667,-67.5,55.26,28,0,6.91
9,Gramsh,AL,2022-06-12 22:51:38,40.8697,20.1844,66.74,76,68,7.78
10,Los Llanos De Aridane,ES,2022-06-12 22:51:38,28.6585,-17.9182,66.13,94,100,11.5
11,Parrita,CR,2022-06-12 22:51:39,9.5201,-84.3225,75.0,92,100,5.86
12,Rikitea,PF,2022-06-12 22:51:39,-23.1203,-134.9692,73.22,71,40,9.98
13,Mataura,NZ,2022-06-12 22:51:40,-46.1927,168.8643,43.48,96,80,13.31
14,Jamestown,US,2022-06-12 22:50:57,42.097,-79.2353,73.02,53,97,1.99
15,Santa Lucia,ES,2022-06-12 22:49:56,27.9117,-15.5407,62.76,78,20,23.02
16,Iqaluit,CA,2022-06-12 22:51:40,63.7506,-68.5145,42.53,65,100,17.27
17,Kutum,SD,2022-06-12 22:51:41,14.2,24.6667,78.28,42,79,5.1
18,Mar Del Plata,AR,2022-06-12 22:51:41,-38.0023,-57.5575,53.1,67,0,3.44
19,Albany,US,2022-06-12 22:50:11,42.6001,-73.9662,69.58,76,96,3.0
